HRU ID,SBID,Name,Crestwidth,
2417,113552,St. Mary Reservoir,50,can divert water out of system
2602,113490,St. Mary Lake,14,
4533,113894,Nelson Reservoir,8,
4635,113829,Lake Bowdoin,6,
3347,114390,Fresno Reservoir,60,
2556,113497,Lower St. Mary Lake,18,
2611,113501,Lake Sherburne,10,
5533,113819,Weigand Reservoir,15,
3548,114301,Newton Lake,30,
3598,114307,Huff Lake,30,
3998,114339,Eastend Reservoir,25,
6104,99999,Cypress Lake,8,can divert water in two directions
4948,114097,Middle Creek Reservoir,14,
2400,113585,Jenson Reservoir,20,can divert water out of system
